scenario,month,token_volume_usd,treasury_value_usd,gross_income_usd,operating_cost_usd,market_pnl_usd,lp_loss_usd,imd_price_shock_usd,imd_liquidity_added_usd,cumulative_imd_liquidity_added_usd,break_even_token_volume_usd
base,1,2000000.00,109350.00,11700.00,2500.00,300.00,150.00,0.00,2760.00,2760.00,412280.70
base,2,2040000.00,118942.03,11928.00,2500.00,328.05,164.03,0.00,2828.40,5588.40,414741.23
base,3,2080800.00,128781.00,12160.56,2500.00,356.83,178.41,0.00,2898.17,8486.57,417265.45
base,4,2122416.00,138871.94,12397.77,2500.00,386.34,193.17,0.00,2969.33,11455.90,419854.65
base,5,2164864.32,149219.98,12639.73,2500.00,416.62,208.31,0.00,3041.92,14497.82,422510.16
base,6,2208161.61,159830.33,12886.52,2500.00,447.66,223.83,0.00,3115.96,17613.77,425233.33
base,7,2252324.84,170708.32,13138.25,2500.00,479.49,239.75,0.00,3191.48,20805.25,428025.52
base,8,2297371.34,181859.40,13395.02,2500.00,512.12,256.06,0.00,3268.50,24073.75,430888.16
base,9,2343318.76,193289.11,13656.92,2500.00,545.58,272.79,0.00,3347.08,27420.83,433822.65
base,10,2390185.14,205003.10,13924.06,2500.00,579.87,289.93,0.00,3427.22,30848.05,436830.47
base,11,2437988.84,217007.14,14196.54,2500.00,615.01,307.50,0.00,3508.96,34357.01,439913.10
base,12,2486748.62,229307.12,14474.47,2500.00,651.02,325.51,0.00,3592.34,37949.35,443072.05
bull,1,3000000.00,116150.00,17400.00,2500.00,1500.00,250.00,0.00,4470.00,4470.00,429824.56
bull,2,3240000.00,133869.88,18768.00,2500.00,1742.25,290.38,0.00,4880.40,9350.40,436907.89
bull,3,3499200.00,153288.69,20245.44,2500.00,2008.05,334.67,0.00,5323.63,14674.03,444679.77
bull,4,3779136.00,174545.87,21841.08,2500.00,2299.33,383.22,0.00,5802.32,20476.35,453196.79
bull,5,4081466.88,197792.06,23564.36,2500.00,2618.19,436.36,0.00,6319.31,26795.66,462520.12
bull,6,4407984.23,223189.97,25425.51,2500.00,2966.88,494.48,0.00,6877.65,33673.32,472715.81
bull,7,4760622.97,250915.39,27435.55,2500.00,3347.85,557.97,0.00,7480.67,41153.98,483855.25
bull,8,5141472.81,281158.23,29606.39,2500.00,3763.73,627.29,0.00,8131.92,49285.90,496015.52
bull,9,5552790.63,314123.62,31950.91,2500.00,4217.37,702.90,0.00,8835.27,58121.17,509279.93
bull,10,5997013.88,350033.14,34482.98,2500.00,4711.85,785.31,0.00,9594.89,67716.07,523738.43
bull,11,6476774.99,389126.17,37217.62,2500.00,5250.50,875.08,0.00,10415.29,78131.35,539488.22
